"","ref_date","age.group","indicators","characteristics","uom","value"
"330",2018,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1809600
"331",2019,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1868200
"332",2020,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1924000
"333",2021,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1922900
"334",2022,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",1896200
"335",2015,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",83.8
"336",2016,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",85.4
"337",2017,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",85.1
"338",2018,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",85.3
"339",2019,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",86.5
"340",2020,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",85.9
"341",2021,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",83.5
"342",2022,"12 to 17 years","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",77.7
"343",2015,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2078200
"344",2016,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2086300
"345",2017,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2075600
"346",2018,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2100400
"347",2019,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2144900
"348",2020,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2216900
"349",2021,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2205100
"350",2022,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Number of persons","Number",2217900
"351",2015,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",97.7
"352",2016,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",97.6
"353",2017,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",97.9
"354",2018,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",97.7
"355",2019,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",97.8
"356",2020,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",97
"357",2021,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",95
"358",2022,"12 to 17 years","Life satisfaction, satisfied or very satisfied","Percent","Percent",90.8
"359",2015,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",1798400
"360",2016,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",1795600
"361",2017,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",1876100
"362",2018,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",1947500
"363",2019,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",1940500
"364",2020,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",1997300
"365",2021,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",2055900
"366",2022,"12 to 17 years","Has a regular healthcare provider","Number of persons","Number",2170400
"367",2015,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",82.5
"368",2016,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",82.7
"369",2017,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",85.6
"370",2018,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",87.8
"371",2019,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",86.6
"372",2020,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",85.3
"373",2021,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",87
"374",2022,"12 to 17 years","Has a regular healthcare provider","Percent","Percent",89.2
"375",2015,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",1266700
"376",2016,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",1274500
"377",2017,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"378",2018,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"379",2019,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"380",2020,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"381",2021,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"382",2022,"12 to 17 years","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"383",2015,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",59
"384",2016,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",59.7
"385",2017,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"386",2018,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"387",2019,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"388",2020,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"389",2021,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"390",2022,"12 to 17 years","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"391",2015,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",524400
"392",2016,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",494900
"393",2017,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",537900
"394",2018,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",506500
"395",2019,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",590900
"396",2020,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",611000
"397",2021,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",NA
"398",2022,"12 to 17 years","Influenza immunization in the past 12 months","Number of persons","Number",535700
"399",2015,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",26.9
"400",2016,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",25.5
"401",2017,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",28
"402",2018,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",26.2
"403",2019,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",30.4
"404",2020,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",29
"405",2021,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",NA
"406",2022,"12 to 17 years","Influenza immunization in the past 12 months","Percent","Percent",22.1
"407",2022,"Total, 18 years and over","Perceived health, very good or excellent","Number of persons","Number",16415800
"408",2022,"Total, 18 years and over","Perceived health, very good or excellent","Percent","Percent",53.8
"409",2022,"Total, 18 years and over","Perceived health, fair or poor","Number of persons","Number",4436500
"410",2022,"Total, 18 years and over","Perceived health, fair or poor","Percent","Percent",14.5
"411",2022,"Total, 18 years and over","Perceived mental health, very good or excellent","Number of persons","Number",16469200
"412",2022,"Total, 18 years and over","Perceived mental health, very good or excellent","Percent","Percent",54.8
"413",2022,"Total, 18 years and over","Perceived mental health, fair or poor","Number of persons","Number",4331000
"414",2022,"Total, 18 years and over","Perceived mental health, fair or poor","Percent","Percent",14.4
"415",2022,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful","Number of persons","Number",6781800
"416",2022,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful","Percent","Percent",22.3
"417",2022,"Total, 18 years and over","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Number of persons","Number",10053400
"418",2022,"Total, 18 years and over","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Percent","Percent",34.7
"419",2022,"Total, 18 years and over","Body mass index, adjusted self-reported, adult (18 years and over), obese","Number of persons","Number",8705500
"420",2022,"Total, 18 years and over","Body mass index, adjusted self-reported, adult (18 years and over), obese","Percent","Percent",30
"421",2022,"Total, 18 years and over","Arthritis (15 years and over)","Number of persons","Number",6274700
"422",2022,"Total, 18 years and over","Arthritis (15 years and over)","Percent","Percent",20.6
"423",2022,"Total, 18 years and over","Diabetes","Number of persons","Number",2556700
"424",2022,"Total, 18 years and over","Diabetes","Percent","Percent",8.4
"425",2022,"Total, 18 years and over","Asthma","Number of persons","Number",NA
"426",2022,"Total, 18 years and over","Asthma","Percent","Percent",NA
"427",2022,"Total, 18 years and over","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Number of persons","Number",NA
"428",2022,"Total, 18 years and over","Chronic obstructive pulmonary disease (COPD; 35 years and over)","Percent","Percent",NA
"429",2022,"Total, 18 years and over","High blood pressure","Number of persons","Number",6143200
"430",2022,"Total, 18 years and over","High blood pressure","Percent","Percent",20.2
"431",2022,"Total, 18 years and over","Mood disorder","Number of persons","Number",3560600
"432",2022,"Total, 18 years and over","Mood disorder","Percent","Percent",11.7
"433",2022,"Total, 18 years and over","Anxiety disorder","Number of persons","Number",4519400
"434",2022,"Total, 18 years and over","Anxiety disorder","Percent","Percent",14.8
"435",2022,"Total, 18 years and over","Current smoker, daily or occasional","Number of persons","Number",3796900
"436",2022,"Total, 18 years and over","Current smoker, daily or occasional","Percent","Percent",12.5
"437",2022,"Total, 18 years and over","Current smoker, daily","Number of persons","Number",2977800
"438",2022,"Total, 18 years and over","Current smoker, daily","Percent","Percent",9.8
"439",2022,"Total, 18 years and over","Cannabis use, past 12 months","Number of persons","Number",7074700
"440",2022,"Total, 18 years and over","Cannabis use, past 12 months","Percent","Percent",23.6
"441",2022,"Total, 18 years and over","Cannabis frequency of use in the past months, daily or almost daily","Number of persons","Number",1945200
"442",2022,"Total, 18 years and over","Cannabis frequency of use in the past months, daily or almost daily","Percent","Percent",6.5
"443",2022,"Total, 18 years and over","Ever used e-cigarette or vaping device","Number of persons","Number",5795500
"444",2022,"Total, 18 years and over","Ever used e-cigarette or vaping device","Percent","Percent",19
"445",2022,"Total, 18 years and over","Used e-cigarette or vaping device, past 30 days","Number of persons","Number",1753900
"446",2022,"Total, 18 years and over","Used e-cigarette or vaping device, past 30 days","Percent","Percent",5.7
"447",2022,"Total, 18 years and over","Heavy drinking","Number of persons","Number",6390600
"448",2022,"Total, 18 years and over","Heavy drinking","Percent","Percent",21
"449",2022,"Total, 18 years and over","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Number of persons","Number",NA
"450",2022,"Total, 18 years and over","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Percent","Percent",NA
"451",2022,"Total, 18 years and over","Breast milk feeding initiation","Number of persons","Number",1544500
"452",2022,"Total, 18 years and over","Breast milk feeding initiation","Percent","Percent",90.3
"453",2022,"Total, 18 years and over","Exclusive breastfeeding, at least 6 months","Number of persons","Number",568900
"454",2022,"Total, 18 years and over","Exclusive breastfeeding, at least 6 months","Percent","Percent",36.4
"455",2022,"Total, 18 years and over","Fruit and vegetable consumption, 5 times or more per day","Number of persons","Number",NA
"456",2022,"Total, 18 years and over","Fruit and vegetable consumption, 5 times or more per day","Percent","Percent",NA
"457",2022,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong","Number of persons","Number",19039800
"458",2022,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong","Percent","Percent",63.5
"459",2022,"Total, 18 years and over","Life satisfaction, satisfied or very satisfied","Number of persons","Number",26143800
"460",2022,"Total, 18 years and over","Life satisfaction, satisfied or very satisfied","Percent","Percent",86.9
"461",2022,"Total, 18 years and over","Has a regular healthcare provider","Number of persons","Number",26110200
"462",2022,"Total, 18 years and over","Has a regular healthcare provider","Percent","Percent",85.8
"463",2022,"Total, 18 years and over","Contact with a medical doctor in the past 12 months","Number of persons","Number",NA
"464",2022,"Total, 18 years and over","Contact with a medical doctor in the past 12 months","Percent","Percent",NA
"465",2022,"Total, 18 years and over","Influenza immunization in the past 12 months","Number of persons","Number",10566200
"466",2022,"Total, 18 years and over","Influenza immunization in the past 12 months","Percent","Percent",35.2
